東京（東京都)　2026年2月14日（１０分ごとの値）,,,,,,,,,,
時分,気圧(hPa),,"降水量
(mm)","気温
(℃)","相対湿度
(％)",風向・風速(m/s),,,,"日照
時間
(分)"
14:10,1015,1017.9,--,14.4,51,2.9,南東,6.8,南東,4
14:20,1015.1,1018,--,14.2,52,2.3,南南東,4.5,南東,1
14:30,1015.1,1018,--,14.4,53,2.8,南,5.2,南南東,3
14:40,1015.2,1018.1,--,14.1,53,3.3,南,5.7,南,5
14:50,1015.2,1018.1,--,13.8,53,2.5,南,5,南南東,0
15:00,1015.1,1018,--,13.9,54,2.7,南南東,4.1,南南東,0
15:10,1015,1017.9,--,13.8,53,2.5,南東,4.5,南東,0
15:20,1015,1017.9,--,13.9,55,2.7,南東,5,南南東,0
15:30,1015,1017.9,--,13.9,56,2.3,南南東,4.1,南南東,0
15:40,1014.9,1017.8,--,13.8,56,3.1,南南東,4.9,南南東,0
15:50,1015,1017.9,--,13.7,57,2.7,南南東,5,南東,0
16:00,1014.9,1017.8,--,13.6,57,2.1,南南東,3.9,南東,0
16:10,1014.9,1017.8,--,13.5,57,2.7,南南東,4.5,南,0
16:20,1015,1017.9,--,13.4,58,2.8,南南東,4.1,南,0
16:30,1014.9,1017.8,--,13.3,58,2.6,南,4.5,南,0
16:40,1014.9,1017.8,--,13.1,59,2.3,南南東,3.7,南南東,0
16:50,1014.9,1017.8,--,13,59,3.2,南,5.4,南南西,2
17:00,1015,1017.9,--,12.8,60,3.1,南,5.4,南,0
17:10,1015,1017.9,--,12.7,60,3,南南東,4.5,南,0
17:20,1015,1017.9,--,12.3,60,2.1,南,4.1,南南東,0
17:30,1015,1017.9,--,12,60,1.8,南,2.8,南,
17:40,1014.9,1017.8,--,11.9,59,1.9,南,3.7,南南西,
17:50,1014.9,1017.8,--,11.9,59,2.4,南南西,3.8,南西,
18:00,1015,1017.9,--,11.5,61,2.6,南南西,4.1,南,
18:10,1015,1017.9,--,11.5,60,2.1,南,3.9,南,
18:20,1015.1,1018,--,11.2,61,2.2,南,3.6,南,
18:30,1015.1,1018,--,10.9,63,2.4,南,3.9,南,
18:40,1015,1017.9,--,11.1,63,1.9,南,4.1,南,
18:50,1015.2,1018.1,--,10.7,66,2.2,南,3.6,南,
19:00,1015.1,1018,--,10.9,67,1.7,南,3.4,南南東,
19:10,1014.9,1017.8,--,10.8,69,1.9,南,4,南南西,
19:20,1014.8,1017.7,--,10.8,70,1.7,南,2.4,南東,
19:30,1014.7,1017.6,--,10.3,72,1,南,1.4,南南西,
19:40,1014.6,1017.5,--,10.3,73,0.7,南南東,1.4,南,
19:50,1014.6,1017.5,--,10.3,73,1,南,1.9,南,
20:00,1014.6,1017.5,--,10.4,74,1.2,南,2.1,南南西,
20:10,1014.7,1017.7,--,9.7,75,2.3,南南東,3.7,南,
20:20,1014.8,1017.7,--,10.4,75,2,南南西,3.4,南,
20:30,1014.9,1017.9,--,9.7,77,1.9,南,2.8,南南西,
20:40,1015.1,1018.1,--,10.1,78,1.6,南,2.4,南,
20:50,1015,1018,--,10.3,78,1.6,南南東,2.5,南南東,
21:00,1014.6,1017.6,--,10.1,79,2,南南東,3,南南東,
21:10,1014.6,1017.6,--,9.9,80,1.5,南南東,2.6,南南東,
21:20,1014.4,1017.4,--,9.7,80,1.5,南南東,2.6,南,
21:30,1014.5,1017.5,--,9.8,79,2.1,南,4.3,南南西,
21:40,1014.6,1017.6,--,10.2,74,1.9,南南西,3.9,南南西,
21:50,1014.8,1017.8,--,9.8,77,2.6,南南西,4.9,南西,
22:00,1014.5,1017.4,--,10.4,70,2.3,南南西,3.9,南南西,
22:10,1014.5,1017.4,--,10.6,67,1.4,南西,2.8,南南西,
22:20,1014.3,1017.3,--,10.1,68,2.3,南南西,4.1,南南西,
22:30,1014.4,1017.4,--,9.9,68,2.4,南南西,3.9,南西,
22:40,1014.2,1017.2,--,9.8,68,2,南,3,南南東,
22:50,1014.3,1017.3,--,9.1,73,2,南南東,4.5,南,
23:00,1014.2,1017.2,--,9.4,70,2.2,南,3.6,南南東,
23:10,1014.3,1017.3,--,9.4,70,2.2,南南西,4.2,南南西,
23:20,1014.4,1017.4,--,9.5,69,1.3,南南西,2.4,南西,
23:30,1014.4,1017.4,--,9.5,68,2.2,南南西,4.4,南南西,
23:40,1014.4,1017.4,--,10,66,2.5,南西,5.4,南南西,
23:50,1014.3,1017.2,--,10.6,63,1.6,南西,3.4,南西,
24:00,1014.4,1017.4,--,9.9,66,2,西,3.1,西南西,
